TweetId,UserName,ScreenName,UserID,TweetText,Reply,Retweet,Empty,Like,Empty,Tweeted On,Tag,Link,Tweeted Datetime,Lat,Long
"815708943112671232","Sandy Mittleman","MLJceo","412026921","Some time working with Indiana Hoosier, Keivon Tabrizi from Swiss while in Budapest. @ Budapest,… https://www.instagram.com/p/BOvbV_hDGZp/ ","","","","","","Jan 1",geocode%3A47.50767%2C19.06537%2C30km%20since:2017-01-01%20until:2017-01-02&f=tweets,https://twitter.com/MLJceo/status/815708943112671232,"3:59 PM - 1 Jan 2017",47.50767,19.06537
"815706744370372608","Tixi","nicotixi","382424304","Obscurity #budapest #tixilife #tixi #djlife #night #trip #places #city #journey @ Bajza utca https://www.instagram.com/p/BOvaWFsgTY9/ ","","","","","","Jan 1",geocode%3A47.50767%2C19.06537%2C30km%20since:2017-01-01%20until:2017-01-02&f=tweets,https://twitter.com/nicotixi/status/815706744370372608,"3:50 PM - 1 Jan 2017",47.50767,19.06537
"815702354611892225","Anna Anjos","annaanjos","18134118","01 #illustration #painting #pattern #hungary #floral @ Budapest, Hungary https://www.instagram.com/p/BOvLPVzg263/ ","","","","","","Jan 1",geocode%3A47.50767%2C19.06537%2C30km%20since:2017-01-01%20until:2017-01-02&f=tweets,https://twitter.com/annaanjos/status/815702354611892225,"3:32 PM - 1 Jan 2017",47.50767,19.06537
"815697818023297024","ZHENYA","zesiku","23778262","I'm at Budapest Liszt Ferenc International Airport - @budairport in Budapest, Budapest főváros","","","","","","Jan 1",geocode%3A47.50767%2C19.06537%2C30km%20since:2017-01-01%20until:2017-01-02&f=tweets,https://twitter.com/zesiku/status/815697818023297024,"3:14 PM - 1 Jan 2017",47.50767,19.06537
"815696979842002944","Brian Michalski","Brian_Michalski","29308413","What a delight to see Beethoven's Symphony 9 performed at the Hungarian State Opera. #Budapest… https://www.instagram.com/p/BOvV521DS3h/ ","","","","","","Jan 1",geocode%3A47.50767%2C19.06537%2C30km%20since:2017-01-01%20until:2017-01-02&f=tweets,https://twitter.com/Brian_Michalski/status/815696979842002944,"3:11 PM - 1 Jan 2017",47.50767,19.06537
"815691479678992384","KayvanMD","Kayvanmd","284295477","Had to get a video on the way out of #Budapest yesterday. I had no idea Hungary was such a… https://www.instagram.com/p/BOvTZsfBqxA/ ","","","","1","","Jan 1",geocode%3A47.50767%2C19.06537%2C30km%20since:2017-01-01%20until:2017-01-02&f=tweets,https://twitter.com/Kayvanmd/status/815691479678992384,"2:49 PM - 1 Jan 2017",47.50767,19.06537
"815691189332672512","Paolo_com","p_compagnucci","151058254","#happynewyear #newyear #budapest #danube #rivercruise @ Budapest,… https://www.instagram.com/p/BOvTRYjgSG4t3C7NQtdQu9QQlnQXKnxZGRtgoo0/ …","","","","","","Jan 1",geocode%3A47.50767%2C19.06537%2C30km%20since:2017-01-01%20until:2017-01-02&f=tweets,https://twitter.com/p_compagnucci/status/815691189332672512,"2:48 PM - 1 Jan 2017",47.50767,19.06537
"815690602629230592","Claudia Schumacher","claudiachilli","142977503","Budapest in a foggy night with no filter... this city is pretty magical ... #budapest… https://www.instagram.com/p/BOvTAUYAX-p/ ","","","","","","Jan 1",geocode%3A47.50767%2C19.06537%2C30km%20since:2017-01-01%20until:2017-01-02&f=tweets,https://twitter.com/claudiachilli/status/815690602629230592,"2:46 PM - 1 Jan 2017",47.50767,19.06537
"815690446752120833","Claudia Schumacher","claudiachilli","142977503","I'm at 7Seasons Apartments Budapest in Budapest","","","","","","Jan 1",geocode%3A47.50767%2C19.06537%2C30km%20since:2017-01-01%20until:2017-01-02&f=tweets,https://twitter.com/claudiachilli/status/815690446752120833,"2:45 PM - 1 Jan 2017",47.50767,19.06537
"815684473551540224","Mehmet Tarlabölen","mtarlabolen","402572653","Sibel (@ Szimpla Kert in Budapest, Budapest főváros)","","","","","","Jan 1",geocode%3A47.50767%2C19.06537%2C30km%20since:2017-01-01%20until:2017-01-02&f=tweets,https://twitter.com/mtarlabolen/status/815684473551540224,"2:21 PM - 1 Jan 2017",47.50767,19.06537
